,2005.01,2005.02,2005.03,2005.04,2005.05,2005.06,2005.07,2005.08,2005.09,2005.10,2005.11,2005.12
강원,78,136,94,107,102,96,75,105,96,127,137,144
경기,432,630,608,651,403,478,462,587,480,532,536,570
경남,133,138,164,138,108,127,147,144,150,131,151,137
경북,143,234,220,180,170,172,162,198,193,189,194,207
광주,52,84,78,47,50,81,46,53,46,67,48,49
대구,101,135,133,146,104,128,119,124,125,138,148,130
대전,57,59,50,76,49,52,55,54,55,46,64,52
부산,92,119,131,160,96,120,110,136,145,133,152,131
서울,252,294,329,349,215,272,279,310,265,311,334,300
울산,35,61,50,37,35,38,48,40,57,56,58,53
인천,120,127,131,140,113,105,126,119,127,120,123,120
전남,104,138,138,83,92,101,111,106,111,117,144,130
전북,72,105,81,78,62,91,91,99,72,89,94,111
제주,21,28,25,17,23,24,27,20,23,32,26,27
충남,99,133,124,124,103,114,101,108,105,134,125,127
충북,46,55,75,57,58,61,53,78,67,81,71,77
합계,1837,2476,2431,2390,1783,2060,2012,2281,2117,2303,2405,2365
